"feature_area","feature","wardian","orca_ade","cmux","conductor","t3code","comparison_notes","source_urls"
"Scope","Comparison identity","Wardian desktop and CLI habitat for multiple agent sessions and workflows","Orca ADE by Stably AI; worktree-native agent IDE","cmux by Manaflow AI; native terminal and browser workspace primitive","Conductor by Melty Labs; parallel-agent workspace product","T3 Code by pingdotgg; server-backed GUI for coding agents","Conductor is scoped to conductor.build rather than Microsoft Conductor. Statuses describe first-party documentation reviewed on 2026-08-29.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://github.com/stablyai/orca;https://github.com/manaflow-ai/cmux;https://www.conductor.build/;https://github.com/pingdotgg/t3code"
"Scope","What the product is","Yes - agent habitat with inspectable state, desktop UI, CLI, Library, Graph, Inbox, Workflows, Explorer, and Workbench","Yes - worktree IDE for running and reviewing coding agents","Yes - terminal, browser, workspaces, splits, tabs, notifications, and programmable control; intentionally a primitive","Yes - desktop and cloud workspace manager for parallel coding agents","Yes - web and desktop GUI with a server runtime, projects, threads, terminals, files, and Git","This row is a product-level comparison; later rows decompose the surfaces.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs;https://cmux.com/;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Scope","Primary execution model","Local-first Tauri/Rust backend with provider-aware PTY and native transports; remote control is an added surface","Local desktop, remote SSH worktrees, remote Orca servers, and optional cloud VMs","Native macOS app with local and SSH/tmux-backed workspaces","Local workspaces plus isolated Conductor Cloud sandboxes","Node server runtime locally, headlessly, remotely, or behind T3 Connect","Local versus hosted and managed-cloud boundaries are important differences.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/ways-to-run;https://cmux.com/docs/ssh;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/internals/remote.md"
"Scope","Supported operating systems","Yes - desktop/runtime targets are cross-platform; remote PWA covers phones","Yes - macOS, Windows, Linux desktop; iOS and Android companion","No - for the desktop app - macOS native; iOS app is beta","No - for the local desktop app - macOS only; Cloud Computer is remote Linux","Yes - Windows, macOS, and Arch Linux desktop; Linux server; WSL backend","Conductor local macOS-only support is an explicit limitation; cmux desktop macOS-only is also explicit.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://github.com/stablyai/orca;https://cmux.com/;https://www.conductor.build/docs/installation;https://github.com/pingdotgg/t3code/blob/main/docs/user/install.md"
"Scope","License and openness","Yes - public repository under the MIT license","Yes - MIT","Yes - GPL","Not evidenced in reviewed first-party product docs","Yes - MIT in the repository metadata","License is included where the first-party repository or site states it; Wardian's repository metadata reports a public MIT-licensed repository.","https://github.com/wardian-app/Wardian/blob/main/LICENSE;https://github.com/wardian-app/Wardian/blob/main/package.json;https://github.com/wardian-app/Wardian/blob/main/src-tauri/Cargo.toml;https://github.com/stablyai/orca;https://github.com/manaflow-ai/cmux;https://github.com/pingdotgg/t3code"
"Scope","Core architecture boundary","Yes - Rust/Tauri owns lifecycle, PTY, filesystem, telemetry, workflow engine, and provider runtime authority","Not evidenced as a formal architecture boundary; docs expose desktop daemon and worktree model","Yes - Swift/AppKit plus libghostty, with a socket/CLI control plane","Yes - app manages workspaces and agents; Cloud adds isolated sandbox infrastructure","Yes - Node WebSocket server, React clients, provider drivers, orchestration event loop, and Rust resource monitor","Architecture detail is stronger for Wardian and T3 than for Orca and Conductor public product docs.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/architecture.md;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md;https://github.com/pingdotgg/t3code/blob/main/docs/internals/resource-telemetry.md"
"Scope","Local-first Markdown or file truth","Yes - prompts, classes, skills, workflows, results, topology, and state are inspectable on disk","Partial - reads agent transcripts and project files; no equivalent Wardian library truth model evidenced","Partial - config, hooks, custom sidebars, and session state are file-backed; no equivalent Library model evidenced","Partial - project configuration and context files are file-backed; workspace state is app-managed","Partial - server/database/event projections own runtime state; project files remain local to the environment","This distinguishes inspectable project artifacts from canonical runtime state.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/agents/hooks-memory;https://github.com/manaflow-ai/cmux-skills;https://www.conductor.build/docs/configure-your-project;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Scope","Managed cloud execution","Not evidenced as a Wardian-managed cloud product; BYO remote control is documented","Partial - disposable cloud VM/per-workspace environment is documented; no managed VPS","Partial - Cloud VMs are listed as early access in the cmux Founder's Edition; general availability is not documented","Yes - Conductor Cloud isolated microVMs/sandboxes with repos, dependencies, secrets, and persistence","Partial - T3 Connect relay/cloud service connects environments; execution remains on the linked server","Cloud execution versus cloud connectivity is a major axis; cmux cloud is availability-gated rather than a confirmed general release.","https://www.onorca.dev/docs/ways-to-run;https://github.com/manaflow-ai/cmux;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/internals/t3-connect.md"
"Scope","BYO provider CLI model","Partial - supports provider CLIs plus Wardian-native provider transports","Yes - any CLI can run; first-class support is layered over agent CLIs","Yes - any CLI in terminal panes; native pane behavior is CLI/provider agnostic","Partial - first-party agent integrations plus local agent commands","Yes - drives provider CLIs installed and authenticated on the server","Orca and T3 explicitly document any CLI/provider-CLI use; cmux is the most provider-agnostic.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/agents/supported;https://cmux.com/;https://www.conductor.build/docs/reference/agent-behavior;https://github.com/pingdotgg/t3code/blob/main/docs/user/install.md"
"Projects","Add an existing local repository","Yes - Explorer, project/workspace setup, and agent workspace assignment","Yes - create a worktree/project from a local repository","Yes - open directories and create workspaces","Yes - add a local repository as a project","Yes - Add Project from a local path/environment","All five treat a local checkout as a first-class starting point.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/getting-started.md;https://www.onorca.dev/docs/model/worktrees;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/first-workspace;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
